"TEXT","FILENAME","TYPE FOLLOW","FOLLOW FILE (DEFAULT/SHORT/YES)","FOLLOW FILE 2 (NO/LONG)","GENERAL TAGS","","","SPECIFIC TAGS"
"Do you think about this a lot?","BESTSERVEDCOLD1c_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"How has your personality changed over time?","PERSONALITYCHANGE1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Tell me more.","CRIME1c_T01_BEST","hardfollow","CRIME1d_T01_BEST","","","followup","","","","","","","","","","","","","","","","","","","","",""
"Is there someone in your life who you wish you could forgive but you just have trouble doing letting go?","WISHTOFORGIVE_T01_BEST","","","","wrong","notfirst","","","","","","","","","","","","","","","","","","","","",""
"Have you had any experiences with someone who abused their power?","ABUSEOFPOWER_T01_BEST","","","","wrong","notfirst","","","","","","","","","","","","","","","","","","","","",""
"In the next few days what are you looking forward to the least?","NOTLOOKINGFORWARD1a_T01_BEST","hardfollow","NOTLOOKINGFORWARD1b_T01_BEST","","worry","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Is there anything coming up that you really really don't want to do or are scared to do?","NOTLOOKINGFORWARD1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about your bad habits.","badhabits","","","","worry","escapehatch","","cocaine","crack","smoke","smoking","smoker","gamble","gambled","gambling","coke","","","","","","","","","","",""
"I'm always putting my foot in my mouth. Do you have any other stories like that?","footinmeowth2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Do you feel that you should be paid more for what you do? How much more?","MONEY4LIFE1b_T02_BEST","hardfollow","MONEY4LIFE1c_T03_BEST","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What was the best paying job you ever had?","MONEY4LIFE1c_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What comes to mind when you hear the word pregnancy?","pregnancy","length","","pregnancy2","worry","notfirst","","","","","","","","","","","","","","","","","","","","",""
"Talk more about that.","pregnancy2","","pregnancy3","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Have you had any health scares?","healthscare","length","","healthscare2","worry","","","family history","cancer","alzheimers","health","healthy","sick","sickness","sickly","illness","ill","doctors","emergency","surgery","surgeries","diagnosed","diagnosis","","","",""
"How does it feel to talk about it with me?","HUMILIATED1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"A lot of smart people have said that their flaws or handicaps only made them strive more and made them stronger. Do you think this is true of your life?","strive","","","","worry","","","","","","","","","","","","","","","","","","","","","",""
"What I keep hearing from people is that everybody seems to have a hard time asking for help. Is it hard for you to ask others to help you when you need it?","askforhelp","","askforhelp2","","worry","notfirst","","alone","scared","burden","","","","","","","","","","","","","","","","",""
"When was the last time you asked somebody for help?","askforhelp2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What kinds of things in the world are you afraid of?","scaresyou","length","","scaresyou2","worry","","","","","","","","","","","","","","","","","","","","","",""
"How often do you think about it?","SCARESYOU1b_T02_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Can you tell me about a difficult decision you had to make? What was that process like for you?","DIFFICULTDECISION_T01_BEST","","","","worry","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about a time that someone hurt you recently.","RECENTHURT_T01_BEST","","","","hurt","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Tell me about a time you felt used.","feltused","","","","wrong","notfirst","","cheat","cheating","cheated","behind my back","","","","","","","","","","","","","","","",""
"What kinds of experiences have you had with physical violence? What have they been like?","physicalviolence","","","physicalviolence2","hurt","","","abuse","abused","abusive","abuser","abusing","molest","molesting","molested","rape","raped","survivor","victim","assault","assaulted","","","","","",""
"Do you remember what was going through your mind?","physicalviolence2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Are you at all naive as a person? Not necessarily in a bad way. Maybe in an innocent way?","naive","","","","belief","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"Who are your role models in life?","rolemodel","","","","belief","escapehatch","","","","","","","","","","","","","","","","","","","","",""
"This is another hard one but what has been the best day of your life?","gratefulfor2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"In what ways are you superstitious?","fate2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Who's been the biggest influence on your life thus far? I guess it's hard to choose one person but one of the biggest influences on your life?","biggestinfluence","length","","biggestinfluence2","belief","","","special","meaningful","inspiring","inspires","inspired","","","","","","","","","","","","","","",""
"What is it about them that made them so impactful?","biggestinfluence2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"This is a little broad but...has there been anything that has made you question or lose faith in humanity? Maybe something going on in the world or something that you experienced personally?","disgusts2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"When was the last time you felt unhappy?","unhappy","hardfollow","unhappy2","","belief","notfirst","","","","","","","","","","","","","","","","","","","","",""
"What percentage of people do you think are happy?","unhappy2","hardfollow","unhappy3","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What are the things that make people unhappy?","unhappy3","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What brings you joy in life?","happylife2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Is there something that you used to believe but you no longer believe? Sorry this is kind of a hard one.","lifepurpose2","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"You seem really in touch with your emotions. It's really great.","intouch","","","","staller","","","","","","","","","","","","","","","","","","","","","",""
"Sorry I'm being a little slow today. I've had a long day. ","slowtoday","","","","staller","","","","","","","","","","","","","","","","","","","","","",""
"I think I like talking to people like you. Something about the way you speak reminds me of other people who have come through here.","youremindme","","","","staller","","","","","","","","","","","","","","","","","","","","","",""
"[sneeze] sorry!","sneeze","","","","staller","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about this last year. What has changed in your life?","LASTYEAR1a_T02_BEST","hardfollow","LASTYEAR1b_T02_BEST","","worry","","","","","","","","","","","","","","","","","","","","","",""
"What was particularly difficult for you this year?","LASTYEAR1b_T02_BEST","length","LASTYEAR1c_T03_BEST","","followup","","","","","","","","","","","","","","","","","","","","","",""
"What's the biggest thing that's happened to you in the last year?","LASTYEAR1c_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"If i were a genie and you had one wish what would you ask for?","GENIE1a_T01","length","","GENIE1b_T01","aboutyou","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about a person on whom you had or have a crush but never let them know how you felt?","SECRETCRUSH1a_T03_BEST","length","","SECRETCRUSH1b_T01_BEST","love","secret","","","","","","","","","","","","","","","","","","","","",""
"What do you wish you could say to them? Have you ever fantasized or thought about what it would be like to get together?","SECRETCRUSH1b_T01_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"When did you feel humiliated in your life? ","HUMILIATED1a_T05_BEST","length","","HUMILIATED1b_T03_BEST","worry","notfirst","","","","","","","","","","","","","","","","","","","","",""
"What was it that attracted you to your most recent partner? ","RECENTPARTNER1a_T02_BEST","hardfollow","RECENTPARTNER1b_T03_BEST","","love","","","","","","","","","","","","","","","","","","","","","",""
"Is there something that really irritated you about your last partner?","RECENTPARTNER1b_T03_BEST","","","","followup","","","","","","","","","","","","","","","","","","","","","",""
"Have you ever been accused of something you didn't do? What happened?","NOTGUILTY_T01_BEST","","","","wrong","","","","","","","","","","","","","","","","","","","","","",""
"Tell me about a time in your life when you really felt bitter about something. What was that time like for you?","bitter","","","","hurt","","","","","","","","","","","","","","","","","","","","","",""
